,Name,Industry,Sector,Headquarters,Founded,Notes,Status_Type,Status_State
0,63 Moons Technologies,Technology,Software,Mumbai,1988,Financial technology,P,A
1,Aban Offshore,Energy,Oil & gas offshore drilling & other services,Chennai,1986,"Oil, petrochemical",P,A
2,ABG Shipyard,Industrials,Shipbuilding,Ahmedabad,1985,Ship building,P,A
3,ABP Group,Consumer services,Broadcasting & entertainment,Kolkata,1922,"Media, news",P,A
4,ACC,Industrials,Cement,Mumbai,1936,Cement,P,A
5,ACG Group,Industrials,Machinery: specialty,Mumbai,1961,Pharmaceutical industry machinery & medicinal materials manufacturer,P,A
6,Acko General Insurance,Insurance,Full line insurance,Mumbai,2016,Insurance,P,A
7,Action Construction Equipment,Industrials,Machinery: construction & handling,Faridabad,1995,"Bulldozers, cranes",P,A
8,Action Group,Conglomerate,—,New Delhi,1972,"Apparel, chemicals, retail, steel",P,A
9,Adani Group,Conglomerate,—,Ahmedabad,1988,Conglomerate,P,A
10,Adani Power,Utilities,Alternative electricity,Mumbai,1910,"Thermal & solar power generation, part of Adani Group",P,A
11,Aditya Birla Fashion and Retail,Retail,Apparel retailers,Mumbai,1997,Clothing retailer,P,A
12,Aditya Birla Group,Conglomerate,—,Mumbai,1857,"Agribusiness, cement, chemicals",P,A
13,Ador Group,Conglomerate,—,Mumbai,1977,"Electronics, energy, chemicals",P,A
14,Advanced Weapons and Equipment India,Industrials,Defense,Kanpur,2021,Weapons,S,A
15,Afcons Infrastructure,Industrials,Construction,Mumbai,1959,Constructions,P,A
16,Agriculture Insurance Company of India,Insurance,Full line insurance,New Delhi,2002,Insurance,S,A
17,Air Costa,Consumer services,Airlines,Vijayawada,2013,Defunct 2017,P,D
18,Air India,Consumer services,Airlines,New Delhi,1932,"Airline, part of Tata Sons",P,A
19,Air India Express,Consumer services,Airlines,Kochi,2005,"Low-cost airline, part of Air India",P,A
20,Ajanta Group,Conglomerate,—,Ahmedabad,1971,"Textile, transport, construction machinery",P,A
21,Alkem Laboratories,Health care,Pharmaceuticals,Mumbai,1973,Pharma,P,A
22,Allcargo Logistics,Industrials,Industrial transportation,Mumbai,1993,Logistics & transportation,P,A
23,Amartex,Basic materials,Textile products,Gurugram,1984,Textiles,P,A
24,Ambuja Cements,Industrials,Cement,Mumbai,1983,Cement,P,A
25,Amrutanjan Healthcare,Health care,Ayurvedic producers,Chennai,1893,Alternative medicines,P,A
26,Amul,Consumer goods,Food products,Anand,1946,Dairy,P,A
27,Angel One,Financials,Investment services,Mumbai,1996,Stock broker,P,A
28,Apollo Hospitals,Health care,Health care providers,Chennai,1983,Hospital chain,P,A
29,Apollo Tyres,Consumer goods,Tires,Gurugram,1972,"Tyres, parts",P,A
30,Aptech,Industrials,Business training & employment agencies,Mumbai,1986,Training,P,A
